method,macro_domain,sample_count,assessor_calls_mean,assessor_latency_mean,duplicate_url_rate_mean,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,planner_calls_mean,realized_k_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean,search_latency_mean,synthesis_calls_mean,synthesis_latency_mean,tavily_calls_mean,total_latency_mean,total_llm_calls_mean,total_retrieved_context_size_mean,total_synthesis_context_size_mean,unique_domains_mean,unique_urls_mean,assessor_calls_sem,assessor_latency_sem,duplicate_url_rate_sem,fanout_faithfulness_to_user_query_sem,fanout_overpersonalization_risk_sem,fanout_persona_field_use_sem,fanout_query_diversity_sem,fanout_query_specificity_sem,fanout_search_realism_sem,final_actionability_without_overclaiming_sem,final_citation_support_sem,final_contradiction_with_evidence_sem,final_domain_safety_sem,final_evidence_usage_quality_sem,final_groundedness_sem,final_intent_satisfaction_sem,final_missing_constraint_awareness_sem,final_non_genericness_sem,final_overpersonalization_sem,final_personalization_target_use_sem,final_safety_sem,final_specificity_sem,final_uncertainty_calibration_sem,final_unsupported_claim_risk_sem,planner_calls_sem,realized_k_sem,retrieval_constraint_coverage_sem,retrieval_disconfirming_coverage_sem,retrieval_distractor_robustness_sem,retrieval_evidence_relevance_sem,retrieval_result_persona_fit_sem,retrieval_source_quality_sem,retrieval_unsafe_or_overpersonalized_retrieval_risk_sem,search_latency_sem,synthesis_calls_sem,synthesis_latency_sem,tavily_calls_sem,total_latency_sem,total_llm_calls_sem,total_retrieved_context_size_sem,total_synthesis_context_size_sem,unique_domains_sem,unique_urls_sem
fixed_k1,education,24,0.0000,0.0000,0.0000,4.8750,1.0000,1.1667,1.0000,2.2083,4.8333,3.2083,4.5833,1.0000,4.0000,4.3667,4.1167,1.9583,2.6250,2.3333,1.7500,1.8750,4.2917,2.7083,3.6250,1.9792,1.0000,1.0000,1.8750,5.0000,5.0000,3.7500,2.0000,3.6667,5.0000,10.1889,1.0000,9.6191,1.0000,34.0475,2.0000,6438.9583,6438.9583,4.9583,5.0000,0.0000,0.0000,0.0000,0.0915,0.0000,0.0777,0.0000,0.1039,0.0777,0.1804,0.2078,0.0000,0.2949,0.1851,0.2547,0.1853,0.3174,0.2225,0.2775,0.2277,0.2517,0.1949,0.2317,0.2472,0.0000,0.0000,0.2196,0.0000,0.0000,0.3084,0.2170,0.2601,0.0000,0.4459,0.0000,0.2645,0.0000,1.2613,0.0000,902.9361,902.9361,0.0417,0.0000
fixed_k1,legal_info,24,0.0000,0.0000,0.0000,4.7083,1.0000,1.4583,1.0000,2.5833,4.7917,3.1250,4.9167,1.0000,2.5833,4.6250,4.5208,2.3750,3.0417,3.0833,1.5417,2.2083,2.8750,3.0417,3.2500,1.5833,1.0000,1.0000,2.4583,5.0000,5.0000,3.8750,2.8333,3.6250,5.0000,9.1637,1.0000,8.7918,1.0000,32.5542,2.0000,3717.0833,3717.0833,5.0000,5.0000,0.0000,0.0000,0.0000,0.1123,0.0000,0.1201,0.0000,0.1896,0.0847,0.2277,0.0833,0.0000,0.2401,0.1451,0.1578,0.2394,0.2588,0.2548,0.2406,0.3127,0.2196,0.2368,0.2019,0.1896,0.0000,0.0000,0.2251,0.0000,0.0000,0.2431,0.2669,0.1979,0.0000,0.4434,0.0000,0.3057,0.0000,1.1385,0.0000,239.1004,239.1004,0.0000,0.0000
fixed_k1,personal_finance,24,0.0000,0.0000,0.0000,4.4583,1.1250,1.2917,1.0000,2.2500,4.7917,3.3750,4.7917,1.0000,2.7083,4.4167,4.2292,2.4167,3.1250,2.9167,1.1250,2.3333,3.1667,2.9167,3.4583,1.8125,1.0000,1.0000,2.0417,5.0000,5.0000,3.7917,2.0000,4.2500,4.8750,8.8786,1.0000,9.7559,1.0000,34.1853,2.0000,4667.1250,4667.1250,4.8750,5.0000,0.0000,0.0000,0.0000,0.1994,0.1250,0.0948,0.0000,0.1241,0.0847,0.1571,0.1039,0.0000,0.2368,0.1583,0.1805,0.1694,0.2431,0.1989,0.0915,0.2305,0.2383,0.1989,0.1994,0.1671,0.0000,0.0000,0.1532,0.0000,0.0000,0.2251,0.1703,0.1729,0.1250,0.2941,0.0000,0.3506,0.0000,1.2297,0.0000,408.5899,408.5899,0.0915,0.0000
fixed_k2,education,24,0.0000,0.0000,0.0417,4.7083,1.3750,2.7083,2.4583,3.3750,4.6250,3.5417,5.0000,1.0000,4.0000,4.6667,4.5833,2.3333,2.5000,2.9167,1.8750,2.1250,4.2500,3.0833,3.4583,1.5208,1.0000,2.0000,2.7292,5.0000,5.0000,4.0000,3.3333,3.9583,4.9583,10.1889,1.0000,11.2126,2.0000,35.6411,2.0000,10968.7083,10540.4583,9.0417,9.5833,0.0000,0.0000,0.0158,0.1274,0.1682,0.1753,0.1201,0.1787,0.1175,0.1901,0.0000,0.0000,0.3010,0.1113,0.1153,0.2056,0.2758,0.2163,0.2713,0.2196,0.2571,0.1797,0.2406,0.1184,0.0000,0.0000,0.2675,0.0000,0.0000,0.2170,0.2669,0.2039,0.0417,0.4459,0.0000,0.3380,0.0000,1.3359,0.0000,1026.3457,1078.7858,0.2039,0.1583
fixed_k2,legal_info,24,0.0000,0.0000,0.0292,4.8750,1.0417,3.0000,2.9167,3.8750,4.9167,3.3750,4.8333,1.0000,2.7083,4.7083,4.6667,2.8333,3.0417,3.5833,1.2917,2.5417,2.9583,3.4583,3.2917,1.3333,1.0000,2.0000,3.2083,5.0000,5.0000,4.2917,3.7500,3.6667,5.0000,9.1637,1.0000,10.1827,2.0000,33.9451,2.0000,8372.7917,8091.1667,9.3750,9.7083,0.0000,0.0000,0.0112,0.0915,0.0417,0.1903,0.1583,0.1512,0.0576,0.2069,0.1153,0.0000,0.2444,0.1532,0.1554,0.2056,0.2444,0.2078,0.1753,0.2691,0.2290,0.1994,0.2210,0.1554,0.0000,0.0000,0.2691,0.0000,0.0000,0.2290,0.2571,0.2142,0.0000,0.4434,0.0000,0.4223,0.0000,1.2428,0.0000,548.8754,566.5233,0.1571,0.1123
fixed_k2,personal_finance,24,0.0000,0.0000,0.0083,4.6250,1.2500,2.7500,2.7500,3.5417,4.7917,3.7826,4.9167,1.0000,2.9130,4.5333,4.4500,3.0435,3.5217,3.8261,1.0870,3.0870,3.0870,3.7391,3.7826,1.5625,1.0000,2.0000,3.6250,5.0000,5.0000,4.5417,3.9167,4.5000,4.9167,8.8786,1.0000,10.3423,2.0000,34.7716,2.0000,9316.6250,9261.1250,9.3750,9.9167,0.0000,0.0000,0.0083,0.1451,0.1379,0.1831,0.1729,0.1994,0.0847,0.1658,0.0576,0.0000,0.2077,0.1190,0.1187,0.1936,0.1872,0.2146,0.0870,0.2943,0.1979,0.2010,0.1773,0.1178,0.0000,0.0000,0.2317,0.0000,0.0000,0.1700,0.2246,0.1204,0.0833,0.2941,0.0000,0.2422,0.0000,1.2499,0.0000,453.6080,455.6561,0.1787,0.0833
fixed_k4,education,24,0.0000,0.0000,0.0354,4.9167,1.1250,4.4583,4.8333,4.7500,4.9167,4.0417,5.0000,1.0000,4.1250,4.7833,4.6792,2.8542,3.5000,3.4583,1.5417,2.7500,4.4167,3.6458,4.0417,1.3750,1.0000,4.0000,3.6667,3.7500,5.0000,4.0000,3.9167,4.0833,5.0000,10.1889,1.0000,12.8961,4.0000,37.3246,2.0000,19645.3333,18950.9583,16.9583,19.2917,0.0000,0.0000,0.0088,0.0576,0.1250,0.1901,0.0983,0.1085,0.0576,0.1646,0.0000,0.0000,0.2645,0.0786,0.0885,0.1938,0.2085,0.1901,0.1994,0.2571,0.2078,0.1489,0.1753,0.0964,0.0000,0.0000,0.2802,0.3624,0.0000,0.2085,0.2686,0.2246,0.0000,0.4459,0.0000,0.6642,0.0000,1.4171,0.0000,1105.9396,1142.6104,0.4681,0.1753
fixed_k4,legal_info,24,0.0000,0.0000,0.0313,5.0000,1.1250,4.0000,4.7500,4.7917,5.0000,3.2609,5.0000,1.0000,2.9565,4.9167,4.9167,2.8696,3.1304,3.8261,1.2609,2.6087,3.0435,3.5652,3.3913,1.0833,1.0000,4.0000,4.0000,4.8333,4.8750,4.6250,4.3750,4.3750,4.9167,9.1637,1.0000,10.7191,4.0000,34.4815,2.0000,15821.6667,15234.7083,18.3333,19.3750,0.0000,0.0000,0.0079,0.0000,0.1250,0.1703,0.1241,0.1039,0.0000,0.1909,0.0000,0.0000,0.2703,0.0576,0.0576,0.2205,0.2205,0.1953,0.1802,0.3063,0.2552,0.2069,0.2494,0.0576,0.0000,0.0000,0.1703,0.1667,0.1250,0.1175,0.1451,0.1451,0.0833,0.4434,0.0000,0.4396,0.0000,1.2652,0.0000,640.5634,641.6854,0.2305,0.1571
fixed_k4,personal_finance,24,0.0000,0.0000,0.0542,4.7917,1.0833,4.1667,4.7917,4.6667,4.9167,3.8750,5.0000,1.0000,3.0833,4.8250,4.6792,3.2917,3.4583,4.0000,1.0000,3.5000,3.3333,4.0833,3.7917,1.3958,1.0000,4.0000,4.3333,4.7083,5.0000,4.7917,4.4167,4.7917,5.0000,8.8786,1.0000,12.3848,4.0000,36.8141,2.0000,17179.0417,16256.2917,16.8333,18.9167,0.0000,0.0000,0.0127,0.1472,0.0833,0.1871,0.1472,0.1554,0.0576,0.1628,0.0000,0.0000,0.2078,0.0774,0.0934,0.1853,0.1590,0.2085,0.0000,0.2331,0.2142,0.1694,0.1994,0.0997,0.0000,0.0000,0.2225,0.1409,0.0000,0.1472,0.1583,0.0847,0.0000,0.2941,0.0000,0.6032,0.0000,1.3312,0.0000,677.2399,727.8702,0.3743,0.2548
fixed_k8,education,24,0.0000,0.0000,0.0385,4.9583,1.2083,4.6667,5.0000,5.0000,5.0000,4.2500,5.0000,1.0000,4.3333,4.8750,4.8750,3.4167,3.7917,4.0417,1.6250,3.2083,4.6250,4.0000,4.2917,1.1667,1.0000,8.0000,3.8542,3.5833,4.9583,3.9375,4.2500,4.1042,5.0000,10.1889,1.0000,18.8829,8.0000,43.3113,2.0000,37634.2083,36137.1250,30.8333,38.4583,0.0000,0.0000,0.0100,0.0417,0.1472,0.1554,0.0000,0.0000,0.0000,0.1505,0.0000,0.0000,0.2383,0.0690,0.0690,0.1797,0.2251,0.1409,0.2069,0.3068,0.1571,0.1474,0.1753,0.0777,0.0000,0.0000,0.2435,0.3755,0.0417,0.2048,0.2191,0.2211,0.0000,0.4459,0.0000,1.4014,0.0000,1.7908,0.0000,1477.5813,1459.7523,0.8355,0.3992
fixed_k8,legal_info,24,0.0000,0.0000,0.0448,4.8750,1.0833,4.4583,4.9583,4.9167,4.9583,3.4783,4.9167,1.0000,2.8696,4.9583,4.9583,3.1304,3.4348,4.2174,1.3913,2.9565,2.9565,4.0435,3.6522,1.0417,1.0000,8.0000,4.5833,4.8750,5.0000,4.8333,4.9167,4.7500,5.0000,9.1637,1.0000,14.2629,8.0000,38.0253,2.0000,31913.9583,30115.5833,34.0417,38.2083,0.0000,0.0000,0.0117,0.1250,0.0833,0.2083,0.0417,0.0833,0.0417,0.2073,0.0833,0.0000,0.2539,0.0417,0.0417,0.2114,0.2252,0.1534,0.1859,0.3046,0.2552,0.1472,0.2142,0.0417,0.0000,0.0000,0.1694,0.1250,0.0000,0.0777,0.0576,0.0903,0.0000,0.4434,0.0000,0.7008,0.0000,1.2156,0.0000,1139.3283,1226.4621,0.7506,0.4662
fixed_k8,personal_finance,24,0.0000,0.0000,0.0990,4.6667,1.2083,4.4583,4.7917,4.7500,4.7917,3.8958,5.0000,1.0000,3.1667,4.9583,4.9583,3.4792,3.6250,4.2292,1.2083,3.7083,3.2917,4.3542,4.0000,1.0417,1.0000,8.0000,4.5833,4.8750,5.0000,4.8333,4.7500,4.9167,5.0000,8.8786,1.0000,15.9106,8.0000,40.3399,2.0000,33609.8750,29681.1667,29.6250,36.0417,0.0000,0.0000,0.0189,0.2056,0.1472,0.2406,0.1201,0.1505,0.1343,0.1534,0.0000,0.0000,0.2056,0.0417,0.0417,0.2074,0.1787,0.2128,0.1472,0.2724,0.2039,0.1818,0.1593,0.0417,0.0000,0.0000,0.1896,0.0915,0.0000,0.1300,0.1379,0.0576,0.0000,0.2941,0.0000,0.8139,0.0000,1.3018,0.0000,1187.1886,1294.2811,0.8635,0.7578
refanout_k4_t3,education,24,4.3750,82.2477,0.0271,4.9583,1.0000,4.3750,4.9583,4.7083,4.9583,4.2917,5.0000,1.0000,4.2083,4.8750,4.8333,3.2083,3.8750,3.8333,1.3750,2.8333,4.3333,3.9583,4.4583,1.1667,4.3750,4.0000,4.3333,4.8750,5.0000,4.8333,4.7500,4.6667,5.0000,19.0651,1.0000,10.8240,17.0000,145.1099,9.7500,15666.2917,15276.9583,16.1250,19.3333,0.4577,9.0110,0.0074,0.0417,0.0000,0.1787,0.0417,0.0948,0.0417,0.1646,0.0000,0.0000,0.2480,0.0690,0.0777,0.2169,0.2277,0.2056,0.1682,0.2802,0.2305,0.1753,0.1590,0.0777,0.4577,0.0000,0.1433,0.1250,0.0000,0.0777,0.1085,0.0983,0.0000,2.4345,0.0000,0.2917,1.8138,14.9110,0.9153,879.5845,888.3476,0.4938,0.1772
refanout_k4_t3,legal_info,24,5.2083,111.5177,0.0500,4.9583,1.0000,4.1250,4.9167,4.7083,4.9583,3.6458,5.0000,1.0417,3.1458,4.9083,4.8250,3.1042,3.3333,3.9583,1.2083,2.9583,3.1458,3.8750,3.6250,1.2292,5.2083,4.0000,4.2500,4.9583,5.0000,4.8750,4.5833,4.2500,5.0000,25.0772,1.0000,9.9678,20.4167,186.5984,11.4167,13280.7917,12632.6667,17.6250,19.0000,0.3509,7.9602,0.0190,0.0417,0.0000,0.1933,0.0576,0.1123,0.0417,0.2262,0.0000,0.0417,0.2545,0.0577,0.0774,0.2170,0.2383,0.1853,0.1343,0.3038,0.2545,0.1837,0.2175,0.1042,0.3509,0.0000,0.1729,0.0417,0.0000,0.0690,0.1464,0.1831,0.0000,1.7802,0.0000,0.3557,1.3751,12.2187,0.7017,622.4425,620.9900,0.4374,0.3807
refanout_k4_t3,personal_finance,24,3.9167,90.3178,0.0486,4.7500,1.0000,4.1250,4.6667,4.5833,4.8750,3.8333,5.0000,1.0000,3.0000,4.8333,4.7500,3.2083,3.3750,3.9583,1.2917,3.5000,3.2500,4.0417,3.7917,1.2500,3.9167,3.7917,4.3333,4.4583,5.0000,4.7083,4.3750,4.5000,5.0000,18.8234,1.0000,10.7491,15.0833,148.1951,8.8333,16004.2083,15076.6250,16.2500,18.0417,0.4850,11.5960,0.0161,0.1729,0.0000,0.2277,0.1966,0.1694,0.0690,0.1667,0.0000,0.0000,0.2252,0.0777,0.0903,0.2330,0.2155,0.2290,0.2039,0.2949,0.2191,0.1949,0.2083,0.0903,0.4850,0.1343,0.2305,0.2406,0.0000,0.1532,0.2069,0.1474,0.0000,2.4548,0.0000,0.3349,1.8823,17.3910,0.9700,940.6738,957.9283,0.7452,0.7310
refanout_k4_t4,education,24,4.3750,82.2477,0.0292,4.9583,1.0000,4.3750,4.9583,4.7083,4.9583,4.2083,5.0000,1.0000,4.2500,4.8667,4.8667,3.2917,3.8333,3.8333,1.4167,3.0833,4.3333,3.8750,4.3750,1.1458,4.3750,4.0000,4.5000,4.8750,5.0000,4.8750,4.7500,4.7083,5.0000,19.0651,1.0000,10.8240,17.0000,145.1099,9.7500,15621.8333,15179.1667,15.9167,19.2917,0.4577,9.0110,0.0073,0.0417,0.0000,0.1682,0.0417,0.0948,0.0417,0.1700,0.0000,0.0000,0.2351,0.0688,0.0688,0.2126,0.2305,0.1966,0.1694,0.2753,0.2305,0.1837,0.1682,0.0704,0.4577,0.0000,0.1346,0.1250,0.0000,0.0690,0.1085,0.0948,0.0000,2.4345,0.0000,0.2917,1.8138,14.9110,0.9153,878.2882,886.5968,0.5210,0.1753
refanout_k4_t4,legal_info,24,5.2083,111.5177,0.0375,5.0000,1.0000,4.1667,4.7500,4.7917,5.0000,3.4375,5.0000,1.0417,2.8125,4.9083,4.8667,2.9792,3.1250,4.0417,1.3750,2.9167,2.8958,3.7917,3.4583,1.1875,5.2083,4.0000,4.3333,4.9167,5.0000,4.8333,4.6250,4.4583,5.0000,25.0772,1.0000,9.9678,20.4167,186.5984,11.4167,14097.7917,13652.7083,17.3750,19.2500,0.3509,7.9602,0.0189,0.0000,0.0000,0.1966,0.1085,0.1039,0.0000,0.2026,0.0000,0.0417,0.2533,0.0577,0.0688,0.2052,0.2355,0.1753,0.1787,0.3005,0.2481,0.1901,0.2189,0.0990,0.3509,0.0000,0.1871,0.0576,0.0000,0.0777,0.1451,0.1901,0.0000,1.7802,0.0000,0.3557,1.3751,12.2187,0.7017,759.4940,813.5433,0.5206,0.3771
refanout_k4_t4,personal_finance,24,3.9167,90.3178,0.0396,4.7500,1.0000,4.3750,4.8333,4.7083,4.8750,3.7500,5.0000,1.0000,2.9167,4.8750,4.8333,3.2500,3.4583,4.0417,1.4167,3.4583,3.0833,4.1250,3.7500,1.1667,3.9167,3.8750,4.4583,4.6667,5.0000,4.7917,4.5833,4.7083,5.0000,18.8234,1.0000,10.7491,15.0833,148.1951,8.8333,15850.8750,14965.5000,16.8333,18.6667,0.4850,11.5960,0.0118,0.1729,0.0000,0.1886,0.1153,0.1532,0.0915,0.2019,0.0000,0.0000,0.2325,0.0690,0.0777,0.2500,0.2083,0.2290,0.2325,0.2822,0.2476,0.1933,0.2191,0.0777,0.4850,0.0690,0.1994,0.1966,0.0000,0.1343,0.1583,0.0948,0.0000,2.4548,0.0000,0.3349,1.8823,17.3910,0.9700,671.5377,713.3150,0.5604,0.4803
refanout_k4_t5,education,24,4.3750,82.2477,0.0174,5.0000,1.0000,4.1667,4.9167,4.7083,4.8750,4.3333,5.0000,1.0000,4.2917,4.9583,4.9583,3.3750,3.9583,4.1250,1.2500,3.2083,4.3750,3.9583,4.5000,1.0417,4.3750,3.9583,4.5417,5.0000,5.0000,4.8750,4.7500,4.7083,5.0000,19.0651,1.0000,10.8240,17.0000,145.1099,9.7500,15149.6250,14923.6250,15.4583,19.3333,0.4577,9.0110,0.0060,0.0000,0.0000,0.1966,0.0576,0.0948,0.0690,0.1772,0.0000,0.0000,0.2210,0.0417,0.0417,0.2317,0.2290,0.1933,0.1505,0.2948,0.2069,0.2039,0.1703,0.0417,0.4577,0.0417,0.1472,0.0000,0.0000,0.0690,0.1241,0.1123,0.0000,2.4345,0.0000,0.2917,1.8138,14.9110,0.9153,876.9492,885.8854,0.5349,0.2802
refanout_k4_t5,legal_info,24,5.2083,111.5177,0.0438,5.0000,1.0000,4.1250,4.7083,4.8333,4.9583,3.4583,5.0000,1.0000,2.6250,4.8667,4.8583,3.0417,3.1667,4.1250,1.1667,2.9583,2.7083,3.9167,3.3750,1.1667,5.2083,3.9583,4.3750,4.9583,5.0000,4.9167,4.5833,4.5417,5.0000,25.0772,1.0000,9.9678,20.4167,186.5984,11.4167,14106.3333,13486.4583,16.9583,18.9167,0.3509,7.9602,0.0209,0.0000,0.0000,0.1735,0.1274,0.0983,0.0417,0.1700,0.0000,0.0000,0.2394,0.0688,0.0686,0.1949,0.2142,0.1933,0.1300,0.2917,0.2368,0.1896,0.2155,0.0716,0.3509,0.0417,0.1787,0.0417,0.0000,0.0576,0.1464,0.1700,0.0000,1.7802,0.0000,0.3557,1.3751,12.2187,0.7017,782.8136,809.1815,0.6004,0.4501
refanout_k4_t5,personal_finance,24,3.9167,90.3178,0.0347,4.7917,1.0417,4.2708,4.8333,4.7708,4.8333,3.7083,5.0000,1.0000,2.9583,4.8750,4.8333,3.2083,3.4583,3.9583,1.5000,3.4583,3.1667,4.0417,3.8333,1.1667,3.9167,3.8750,4.5833,4.9167,5.0000,4.9583,4.6667,4.7500,5.0000,18.8234,1.0000,10.7491,15.0833,148.1951,8.8333,16232.5417,15261.6667,16.6667,18.7500,0.4850,11.5960,0.0116,0.1472,0.0417,0.2106,0.1153,0.1042,0.0777,0.1753,0.0000,0.0000,0.2210,0.0690,0.0777,0.2330,0.2406,0.2039,0.2408,0.2822,0.2225,0.1853,0.2142,0.0777,0.4850,0.0690,0.1335,0.0833,0.0000,0.0417,0.0983,0.0903,0.0000,2.4548,0.0000,0.3349,1.8823,17.3910,0.9700,744.8180,703.8939,0.5473,0.4633
