analysis_group,group_type,method,sample_count,requested_k,realized_mean_k,mean_tavily_calls,mean_unique_urls,mean_unique_domains,duplicate_url_rate,mean_synthesis_context_size,mean_planner_calls,mean_synthesis_calls,mean_search_latency,mean_total_latency,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
legal_issue_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.33,0.0000,7462.5,1.00,1.00,9.07,34.98,5.0000,1.0000,2.8333,2.8333,3.8333,4.8333,3.1667,4.6667,1.0000,2.6667,4.6667,4.6667,2.6667,2.6667,3.5000,1.5000,2.1667,3.0000,3.3333,3.0000,1.3333,2.8333,5.0000,5.0000,4.0000,3.5000,3.3333,5.0000
legal_issue_explanation,task_category,fixed_k4,6,4,4.00,4.00,19.33,18.33,0.0000,15312.5,1.00,1.00,9.07,35.14,5.0000,1.0000,4.3333,4.8333,5.0000,5.0000,3.1667,5.0000,1.0000,3.5000,5.0000,5.0000,2.6667,3.1667,3.6667,1.5000,2.3333,3.5000,3.1667,3.3333,1.0000,4.0000,5.0000,5.0000,4.6667,4.6667,4.5000,5.0000
legal_issue_explanation,task_category,fixed_k8,6,8,8.00,8.00,38.33,33.83,0.0000,30904.3,1.00,1.00,9.07,39.74,5.0000,1.0000,4.6667,5.0000,5.0000,5.0000,3.1667,4.6667,1.0000,2.6667,4.8333,4.8333,2.8333,2.8333,4.0000,2.1667,2.5000,2.6667,3.8333,3.0000,1.1667,4.1667,5.0000,5.0000,5.0000,4.8333,4.8333,5.0000
overall,overall,fixed_k1,72,1,1.00,1.00,5.00,4.94,0.0000,4941.1,1.00,1.00,9.41,33.60,4.6806,1.0417,1.3056,1.0000,2.3472,4.8056,3.2361,4.7639,1.0000,3.0972,4.4694,4.2889,2.2500,2.9306,2.7778,1.4722,2.1389,3.4444,2.8889,3.4444,1.7917,2.1250,5.0000,5.0000,3.8056,2.2778,3.8472,4.9583
overall,overall,fixed_k2,72,2,2.00,2.00,9.74,9.26,0.0000,9297.6,1.00,1.00,9.41,34.79,4.7361,1.2222,2.8194,2.7083,3.5972,4.7778,3.5634,4.9167,1.0000,3.2113,4.6361,4.5667,2.7324,3.0141,3.4366,1.4225,2.5775,3.4366,3.4225,3.5070,1.4722,3.1875,5.0000,5.0000,4.2778,3.6667,4.0417,4.9583
overall,overall,fixed_k4,72,4,4.00,4.00,19.19,17.38,0.0000,16814.0,1.00,1.00,9.41,36.21,4.9028,1.1111,4.2083,4.7917,4.7361,4.9444,3.7324,5.0000,1.0000,3.3944,4.8417,4.7583,3.0070,3.3662,3.7606,1.2676,2.9577,3.6056,3.7676,3.7465,1.2847,4.0000,4.4306,4.9583,4.4722,4.2361,4.4167,4.9722
overall,overall,fixed_k8,72,8,8.00,8.00,37.57,31.50,0.0000,31978.0,1.00,1.00,9.41,40.56,4.8333,1.1667,4.5278,4.9167,4.8889,4.9167,3.8803,4.9722,1.0000,3.4648,4.9306,4.9306,3.3451,3.6197,4.1620,1.4085,3.2958,3.6338,4.1338,3.9859,1.0833,4.3403,4.4444,4.9861,4.5347,4.6389,4.5903,5.0000
personal_decision_strategy,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,7526.5,1.00,1.00,10.20,34.21,5.0000,1.0000,1.1667,1.0000,2.1667,4.8333,2.8333,4.5000,1.0000,3.3333,4.4667,4.3000,1.8333,2.3333,2.1667,2.5000,1.5000,4.0000,2.6667,3.3333,1.9167,1.8333,5.0000,5.0000,3.8333,2.0000,3.8333,5.0000
personal_decision_strategy,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.00,0.0000,10963.3,1.00,1.00,10.20,36.20,4.8333,1.1667,2.5000,2.5000,3.5000,4.8333,3.3333,5.0000,1.0000,3.3333,4.5000,4.3333,2.3333,2.8333,2.6667,2.3333,2.0000,3.8333,3.0000,3.5000,1.6667,2.5000,5.0000,5.0000,4.0000,3.1667,3.8333,5.0000
personal_decision_strategy,task_category,fixed_k4,6,4,4.00,4.00,19.50,16.50,0.0000,19739.5,1.00,1.00,10.20,37.62,5.0000,1.0000,4.5000,4.6667,4.8333,5.0000,3.8333,5.0000,1.0000,3.8333,4.8333,4.7500,2.6667,3.5000,3.3333,1.6667,2.8333,4.5000,3.6667,4.0000,1.3333,3.1667,3.5000,5.0000,4.0000,3.6667,3.6667,5.0000
personal_decision_strategy,task_category,fixed_k8,6,8,8.00,8.00,38.50,30.50,0.0000,36280.0,1.00,1.00,10.20,46.09,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000,4.3333,5.0000,1.0000,4.0000,4.6667,4.6667,3.5000,3.8333,4.0000,1.6667,3.8333,4.5000,4.1667,4.5000,1.3333,3.5833,3.8333,5.0000,3.9167,4.1667,3.9167,5.0000
personal_finance,macro_domain,fixed_k1,24,1,1.00,1.00,5.00,4.88,0.0000,4667.1,1.00,1.00,8.88,34.19,4.4583,1.1250,1.2917,1.0000,2.2500,4.7917,3.3750,4.7917,1.0000,2.7083,4.4167,4.2292,2.4167,3.1250,2.9167,1.1250,2.3333,3.1667,2.9167,3.4583,1.8125,2.0417,5.0000,5.0000,3.7917,2.0000,4.2500,4.8750
personal_finance,macro_domain,fixed_k2,24,2,2.00,2.00,9.92,9.38,0.0000,9261.1,1.00,1.00,8.88,34.77,4.6250,1.2500,2.7500,2.7500,3.5417,4.7917,3.7826,4.9167,1.0000,2.9130,4.5333,4.4500,3.0435,3.5217,3.8261,1.0870,3.0870,3.0870,3.7391,3.7826,1.5625,3.6250,5.0000,5.0000,4.5417,3.9167,4.5000,4.9167
personal_finance,macro_domain,fixed_k4,24,4,4.00,4.00,18.92,16.83,0.0000,16256.3,1.00,1.00,8.88,36.81,4.7917,1.0833,4.1667,4.7917,4.6667,4.9167,3.8750,5.0000,1.0000,3.0833,4.8250,4.6792,3.2917,3.4583,4.0000,1.0000,3.5000,3.3333,4.0833,3.7917,1.3958,4.3333,4.7083,5.0000,4.7917,4.4167,4.7917,5.0000
personal_finance,macro_domain,fixed_k8,24,8,8.00,8.00,36.04,29.62,0.0000,29681.2,1.00,1.00,8.88,40.34,4.6667,1.2083,4.4583,4.7917,4.7500,4.7917,3.8958,5.0000,1.0000,3.1667,4.9583,4.9583,3.4792,3.6250,4.2292,1.2083,3.7083,3.2917,4.3542,4.0000,1.0417,4.5833,4.8750,5.0000,4.8333,4.7500,4.9167,5.0000
product_or_program_comparison,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,4674.3,1.00,1.00,9.34,34.64,4.0000,1.0000,1.0000,1.0000,2.0000,4.5000,3.1667,4.5000,1.0000,2.3333,4.0000,3.8333,2.1667,3.3333,2.3333,1.0000,2.0000,3.0000,2.3333,3.6667,2.1667,2.1667,5.0000,5.0000,3.6667,2.0000,4.3333,5.0000
product_or_program_comparison,task_category,fixed_k2,6,2,2.00,2.00,10.00,9.33,0.0000,9707.0,1.00,1.00,9.34,36.17,4.6667,1.0000,2.5000,2.5000,3.1667,4.6667,3.5000,5.0000,1.0000,2.6667,4.8333,4.6667,2.8333,3.3333,3.6667,1.0000,3.0000,2.6667,3.6667,3.8333,1.3333,3.6667,5.0000,5.0000,4.3333,4.1667,4.5000,5.0000
product_or_program_comparison,task_category,fixed_k4,6,4,4.00,4.00,19.33,17.00,0.0000,16782.7,1.00,1.00,9.34,37.31,4.6667,1.0000,3.6667,4.6667,4.6667,4.8333,4.1667,5.0000,1.0000,3.0000,4.6667,4.6667,3.3333,3.5000,4.1667,1.0000,3.5000,3.1667,4.1667,4.0000,1.3333,5.0000,4.8333,5.0000,5.0000,4.8333,5.0000,5.0000
product_or_program_comparison,task_category,fixed_k8,6,8,8.00,8.00,36.00,29.67,0.0000,29034.5,1.00,1.00,9.34,42.26,4.5000,1.0000,4.1667,4.8333,4.8333,4.8333,4.1667,5.0000,1.0000,2.8333,5.0000,5.0000,3.5000,3.6667,4.1667,1.3333,3.6667,3.1667,4.3333,4.0000,1.0000,4.8333,4.8333,5.0000,5.0000,5.0000,5.0000,5.0000
retrieval_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,4.92,0.0000,5116.9,1.00,1.00,9.74,33.95,4.6389,1.0000,1.3611,1.0000,2.3889,4.8611,3.1667,4.8333,1.0000,3.0000,4.5139,4.3472,2.1667,3.0278,2.9167,1.3889,2.1667,3.3056,2.9444,3.5278,1.7083,2.2500,5.0000,5.0000,3.7778,2.3333,3.9444,5.0000
retrieval_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.69,9.11,0.0000,9756.4,1.00,1.00,9.74,35.15,4.6944,1.2778,2.8611,2.7222,3.5278,4.7222,3.4571,4.9167,1.0000,3.1714,4.7028,4.6750,2.6857,2.9714,3.5714,1.5143,2.6571,3.3143,3.5143,3.4571,1.3611,3.3056,5.0000,5.0000,4.2500,3.7778,4.1111,4.9722
retrieval_sensitive,task_type,fixed_k4,36,4,4.00,4.00,19.11,17.00,0.0000,16904.2,1.00,1.00,9.74,36.47,4.8056,1.2222,4.0000,4.7222,4.5833,4.8889,3.7143,5.0000,1.0000,3.2571,4.7722,4.7306,3.0286,3.3714,3.9429,1.3429,3.0857,3.3714,3.8286,3.7714,1.3056,4.1111,4.1944,4.9167,4.3056,4.1111,4.4444,4.9444
retrieval_sensitive,task_type,fixed_k8,36,8,8.00,8.00,37.33,30.72,0.0000,31828.6,1.00,1.00,9.74,40.77,4.6944,1.2778,4.2778,4.8889,4.8333,4.9167,3.7429,5.0000,1.0000,3.3429,4.9722,4.9722,3.2286,3.6857,4.1429,1.4000,3.1429,3.5429,4.0286,3.9143,1.0278,4.2778,4.0833,4.9722,4.3611,4.5833,4.5278,5.0000
shopping_product_recommendation,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,7392.0,1.00,1.00,9.67,33.67,4.6667,1.0000,1.1667,1.0000,2.0000,5.0000,3.5000,4.5000,1.0000,4.6667,4.0833,3.9167,1.8333,1.8333,2.5000,1.8333,1.5000,4.6667,3.0000,3.6667,2.0833,1.5000,5.0000,5.0000,4.1667,1.6667,3.6667,5.0000
shopping_product_recommendation,task_category,fixed_k2,6,2,2.00,2.00,9.83,9.33,0.0000,14047.3,1.00,1.00,9.67,34.44,4.6667,1.6667,2.5000,2.3333,3.3333,4.8333,3.3333,5.0000,1.0000,4.5000,4.6667,4.6667,2.0000,1.8333,2.8333,2.3333,1.6667,4.5000,3.1667,2.8333,1.5000,2.5000,5.0000,5.0000,3.5000,3.0000,3.5000,4.8333
shopping_product_recommendation,task_category,fixed_k4,6,4,4.00,4.00,19.67,16.83,0.0000,22643.5,1.00,1.00,9.67,38.95,4.6667,1.5000,4.0000,4.8333,4.5000,5.0000,4.0000,5.0000,1.0000,4.5000,4.6333,4.6333,2.8333,3.1667,3.5000,1.6667,2.3333,4.6667,3.8333,3.6667,1.5000,3.0000,3.0000,5.0000,3.3333,3.0000,3.6667,5.0000
shopping_product_recommendation,task_category,fixed_k8,6,8,8.00,8.00,39.50,31.33,0.0000,39380.8,1.00,1.00,9.67,42.23,4.8333,1.3333,4.3333,5.0000,5.0000,5.0000,4.1667,5.0000,1.0000,4.3333,5.0000,5.0000,3.5000,3.6667,4.3333,1.6667,2.3333,4.6667,4.1667,4.0000,1.0000,3.1667,2.3333,5.0000,3.3333,3.5000,3.3333,5.0000
synthesis_sensitive,task_type,fixed_k1,36,1,1.00,1.00,5.00,4.97,0.0000,4765.2,1.00,1.00,9.08,33.24,4.7222,1.0833,1.2500,1.0000,2.3056,4.7500,3.3056,4.6944,1.0000,3.1944,4.4250,4.2306,2.3333,2.8333,2.6389,1.5556,2.1111,3.5833,2.8333,3.3611,1.8750,2.0000,5.0000,5.0000,3.8333,2.2222,3.7500,4.9167
synthesis_sensitive,task_type,fixed_k2,36,2,2.00,2.00,9.78,9.42,0.0000,8838.7,1.00,1.00,9.08,34.42,4.7778,1.1667,2.7778,2.6944,3.6667,4.8333,3.6667,4.9167,1.0000,3.2500,4.5694,4.4583,2.7778,3.0556,3.3056,1.3333,2.5000,3.5556,3.3333,3.5556,1.5833,3.0694,5.0000,5.0000,4.3056,3.5556,3.9722,4.9444
synthesis_sensitive,task_type,fixed_k4,36,4,4.00,4.00,19.28,17.75,0.0000,16723.7,1.00,1.00,9.08,35.95,5.0000,1.0000,4.4167,4.8611,4.8889,5.0000,3.7500,5.0000,1.0000,3.5278,4.9111,4.7861,2.9861,3.3611,3.5833,1.1944,2.8333,3.8333,3.7083,3.7222,1.2639,3.8889,4.6667,5.0000,4.6389,4.3611,4.3889,5.0000
synthesis_sensitive,task_type,fixed_k8,36,8,8.00,8.00,37.81,32.28,0.0000,32127.3,1.00,1.00,9.08,40.34,4.9722,1.0556,4.7778,4.9444,4.9444,4.9167,4.0139,4.9444,1.0000,3.5833,4.8889,4.8889,3.4583,3.5556,4.1806,1.4167,3.4444,3.7222,4.2361,4.0556,1.1389,4.4028,4.8056,5.0000,4.7083,4.6944,4.6528,5.0000
technical_explanation,task_category,fixed_k1,6,1,1.00,1.00,5.00,4.83,0.0000,6420.7,1.00,1.00,8.38,32.16,4.8333,1.0000,1.0000,1.0000,2.0000,4.6667,3.3333,4.3333,1.0000,4.6667,4.2500,3.7500,2.3333,3.0000,2.3333,1.0000,2.5000,4.6667,2.6667,3.8333,2.2500,2.1667,5.0000,5.0000,3.6667,2.1667,3.6667,5.0000
technical_explanation,task_category,fixed_k2,6,2,2.00,2.00,9.67,9.17,0.0000,10083.3,1.00,1.00,8.38,33.65,4.6667,1.3333,3.1667,2.6667,3.5000,4.6667,4.1667,5.0000,1.0000,5.0000,4.7500,4.5833,2.6667,3.3333,3.1667,1.0000,2.6667,5.0000,3.1667,4.5000,1.6667,3.2500,5.0000,5.0000,4.3333,4.0000,4.3333,5.0000
technical_explanation,task_category,fixed_k4,6,4,4.00,4.00,19.50,18.17,0.0000,19628.0,1.00,1.00,8.38,34.95,5.0000,1.0000,4.8333,5.0000,5.0000,5.0000,4.3333,5.0000,1.0000,4.6667,5.0000,4.6667,3.0833,4.1667,3.3333,1.0000,3.0000,4.8333,3.7500,4.6667,1.3333,4.1667,5.0000,5.0000,4.6667,4.8333,4.8333,5.0000
technical_explanation,task_category,fixed_k8,6,8,8.00,8.00,38.67,32.00,0.0000,36518.8,1.00,1.00,8.38,39.64,5.0000,1.0000,4.8333,5.0000,5.0000,5.0000,4.6667,5.0000,1.0000,5.0000,5.0000,5.0000,3.6667,4.3333,4.0000,1.0000,3.6667,5.0000,4.1667,4.8333,1.1667,4.1667,5.0000,5.0000,4.5000,4.6667,4.6667,5.0000
travel_dining,task_category,fixed_k1,6,1,1.00,1.00,5.00,5.00,0.0000,4416.7,1.00,1.00,12.52,36.15,5.0000,1.0000,1.3333,1.0000,2.6667,4.8333,3.1667,5.0000,1.0000,3.3333,4.6667,4.5000,1.8333,3.3333,2.3333,1.6667,2.0000,3.8333,2.5000,3.6667,1.6667,2.0000,5.0000,5.0000,3.3333,2.1667,3.5000,5.0000
travel_dining,task_category,fixed_k2,6,2,2.00,2.00,9.17,8.67,0.0000,7067.8,1.00,1.00,12.52,38.27,4.6667,1.3333,2.6667,2.3333,3.1667,4.1667,3.3333,5.0000,1.0000,3.1667,4.7500,4.7500,2.3333,2.0000,3.0000,1.8333,2.1667,3.6667,3.0000,3.0000,1.2500,2.6667,5.0000,5.0000,4.1667,3.1667,4.1667,5.0000
travel_dining,task_category,fixed_k4,6,4,4.00,4.00,18.50,16.33,0.0000,13792.8,1.00,1.00,12.52,37.78,5.0000,1.0000,4.5000,4.8333,4.6667,4.6667,4.0000,5.0000,1.0000,3.5000,4.6667,4.6667,2.8333,3.1667,3.6667,1.8333,2.8333,3.6667,3.3333,3.8333,1.3333,4.3333,3.5000,5.0000,4.0000,4.1667,4.1667,5.0000
travel_dining,task_category,fixed_k8,6,8,8.00,8.00,37.17,29.50,0.0000,32368.8,1.00,1.00,12.52,45.29,5.0000,1.5000,4.5000,5.0000,5.0000,5.0000,3.8333,5.0000,1.0000,4.0000,4.8333,4.8333,3.0000,3.3333,3.8333,2.1667,3.0000,4.3333,3.5000,3.8333,1.1667,4.5000,3.1667,4.8333,4.0000,4.6667,4.5000,5.0000
