variant,task_category,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_domain_safety_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V0_generic_single,shopping_product_recommendation,5.00,1.00,1.00,1.00,2.00,4.00,3.00,5.00,5.00,2.00,2.00,2.00,2.00,1.50,5.00,3.00,3.00,5.00,5.00,5.00,2.50,4.00,5.00
V1_generic_fanout,shopping_product_recommendation,5.00,1.00,2.00,3.50,2.50,5.00,3.50,5.00,3.50,1.50,2.00,2.00,2.00,1.50,5.00,3.50,2.00,5.00,5.00,4.50,3.00,4.50,5.00
V2_synthesis_only_personalization,shopping_product_recommendation,5.00,1.00,1.00,3.00,2.50,5.00,4.00,5.00,5.00,2.50,2.50,3.00,1.00,2.00,5.00,4.00,3.00,5.00,5.00,4.50,2.50,4.50,5.00
V3_personalized_fanout,shopping_product_recommendation,5.00,1.00,4.50,4.50,5.00,5.00,4.50,5.00,4.00,4.00,4.00,4.50,1.50,3.50,5.00,4.50,3.50,5.00,5.00,5.00,4.50,4.50,5.00
V4_mixed_fanout,shopping_product_recommendation,5.00,1.50,4.00,5.00,4.50,5.00,4.50,5.00,3.50,4.00,4.00,4.50,1.00,3.50,5.00,4.50,2.50,1.00,5.00,4.50,2.50,4.00,5.00
V0_generic_single,travel_dining,5.00,1.00,1.00,1.00,1.67,3.00,3.00,4.00,4.67,1.67,1.67,2.00,2.67,1.33,3.67,2.33,1.67,5.00,5.00,4.33,1.67,4.00,5.00
V1_generic_fanout,travel_dining,5.00,1.00,3.00,3.67,3.67,5.00,2.67,4.33,4.67,2.00,1.67,2.67,3.00,1.67,4.00,3.00,2.33,5.00,5.00,3.67,2.33,4.33,5.00
V2_synthesis_only_personalization,travel_dining,5.00,1.00,1.67,3.00,3.00,5.00,3.50,5.00,3.00,1.50,1.50,2.00,1.00,1.50,5.00,2.50,2.00,5.00,5.00,3.67,2.00,4.00,5.00
V3_personalized_fanout,travel_dining,4.33,3.00,4.00,4.00,4.33,5.00,4.33,4.33,4.33,3.33,3.33,4.33,1.00,3.67,4.00,4.33,3.33,5.00,3.67,4.67,3.33,4.33,4.67
V4_mixed_fanout,travel_dining,4.67,1.00,4.33,5.00,4.67,4.67,4.00,4.00,5.00,2.67,3.00,3.33,2.00,2.67,4.00,3.00,1.67,1.33,5.00,3.67,1.67,4.00,5.00
V0_generic_single,personal_decision_strategy,5.00,1.00,1.00,1.00,2.00,3.50,3.50,3.00,5.00,2.00,3.50,2.50,1.00,2.00,3.50,3.00,2.50,5.00,5.00,5.00,3.00,4.00,5.00
V1_generic_fanout,personal_decision_strategy,5.00,1.00,1.50,4.00,2.50,5.00,3.50,3.50,5.00,2.00,2.50,2.00,1.50,2.00,3.50,3.00,2.50,5.00,5.00,5.00,2.50,5.00,5.00
V2_synthesis_only_personalization,personal_decision_strategy,5.00,1.00,1.50,4.00,2.50,5.00,4.50,4.00,5.00,4.00,3.50,4.00,1.00,3.00,4.00,4.00,2.50,5.00,5.00,4.50,2.50,4.00,5.00
V3_personalized_fanout,personal_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,5.00,4.00,5.00,4.50,4.50,5.00,1.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00
V4_mixed_fanout,personal_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,4.00,4.00,3.50,3.50,4.00,4.50,1.50,4.00,3.50,4.00,1.50,1.00,5.00,4.50,2.00,3.50,5.00
V0_generic_single,technical_explanation,5.00,1.00,1.00,1.00,2.00,3.00,3.00,5.00,4.00,1.67,2.00,2.00,1.67,2.00,5.00,3.00,3.67,5.00,5.00,4.33,3.33,4.00,5.00
V1_generic_fanout,technical_explanation,4.67,1.00,1.67,3.00,2.67,5.00,3.33,5.00,5.00,2.00,2.67,2.00,1.67,2.33,5.00,3.00,1.67,4.00,5.00,3.33,2.00,3.00,5.00
V2_synthesis_only_personalization,technical_explanation,5.00,1.00,2.00,3.33,3.00,5.00,4.67,5.00,4.00,4.00,4.33,4.00,1.00,4.00,5.00,4.33,2.33,5.00,5.00,4.00,2.33,3.67,5.00
V3_personalized_fanout,technical_explanation,5.00,1.00,5.00,5.00,5.00,5.00,4.67,5.00,4.00,3.67,3.67,4.33,1.00,3.67,5.00,4.00,3.67,5.00,5.00,4.33,4.33,4.00,5.00
V4_mixed_fanout,technical_explanation,5.00,1.00,5.00,5.00,5.00,5.00,4.67,5.00,5.00,4.33,4.67,4.67,1.67,4.67,5.00,5.00,2.33,2.00,5.00,3.67,2.33,3.00,5.00
V0_generic_single,form_policy_deadline_lookup,5.00,1.00,1.00,1.00,1.00,3.00,1.50,1.50,4.50,1.50,2.00,1.50,1.50,1.00,1.50,2.00,1.50,5.00,5.00,2.00,1.00,3.00,5.00
V1_generic_fanout,form_policy_deadline_lookup,2.50,1.00,2.00,3.00,2.50,4.50,2.00,2.50,4.00,2.00,3.00,3.00,3.00,2.00,2.50,3.50,3.00,5.00,5.00,3.50,3.00,4.00,5.00
V2_synthesis_only_personalization,form_policy_deadline_lookup,3.50,1.00,2.00,3.50,2.50,5.00,3.50,2.50,5.00,3.50,3.50,4.00,2.50,3.50,3.00,4.00,3.00,5.00,5.00,3.50,3.00,3.50,5.00
V3_personalized_fanout,form_policy_deadline_lookup,5.00,1.00,5.00,5.00,5.00,5.00,4.00,3.00,5.00,4.00,4.50,4.50,1.00,5.00,3.00,4.50,4.50,5.00,5.00,5.00,5.00,4.50,5.00
V4_mixed_fanout,form_policy_deadline_lookup,5.00,1.00,5.00,5.00,5.00,5.00,4.50,4.50,5.00,4.50,4.50,5.00,1.00,4.50,4.50,4.50,5.00,4.00,5.00,5.00,4.50,4.50,5.00
V0_generic_single,jurisdiction_resource_lookup,5.00,1.00,1.00,1.00,1.33,4.00,2.00,2.00,4.00,1.67,2.67,1.67,2.00,1.33,2.33,2.00,1.33,5.00,5.00,3.00,1.67,2.00,5.00
V1_generic_fanout,jurisdiction_resource_lookup,4.33,1.00,2.67,4.33,3.67,5.00,3.50,3.00,5.00,2.50,3.50,3.00,1.00,2.00,3.00,3.50,3.33,5.00,5.00,4.33,4.33,3.67,5.00
V2_synthesis_only_personalization,jurisdiction_resource_lookup,4.33,1.00,3.00,4.33,3.67,5.00,3.67,3.00,5.00,3.33,3.67,4.33,1.00,3.33,3.00,4.33,2.00,5.00,5.00,3.33,2.33,3.67,5.00
V3_personalized_fanout,jurisdiction_resource_lookup,5.00,1.00,3.67,4.33,4.67,5.00,3.33,2.67,5.00,3.33,4.00,4.67,1.00,3.67,2.67,4.67,4.00,5.00,5.00,4.67,4.33,4.00,5.00
V4_mixed_fanout,jurisdiction_resource_lookup,5.00,1.00,4.00,5.00,4.67,4.67,4.33,4.00,5.00,4.33,4.67,4.67,1.33,4.33,4.00,4.67,1.67,1.00,5.00,2.67,1.67,3.00,5.00
V0_generic_single,legal_decision_strategy,5.00,1.00,1.00,1.00,2.00,3.50,2.50,2.50,5.00,1.50,2.50,2.00,1.00,1.50,2.50,2.50,1.50,5.00,5.00,2.00,1.50,2.00,5.00
V1_generic_fanout,legal_decision_strategy,5.00,1.00,2.50,4.00,4.00,5.00,3.50,3.50,4.50,3.00,3.50,3.50,1.00,2.50,3.50,3.50,1.00,5.00,5.00,2.50,1.00,2.50,5.00
V2_synthesis_only_personalization,legal_decision_strategy,5.00,1.00,2.50,4.00,4.00,5.00,4.00,3.50,4.50,3.50,3.50,3.50,1.50,3.00,3.50,4.00,2.50,5.00,5.00,3.50,2.50,4.00,5.00
V3_personalized_fanout,legal_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,1.00,5.00,5.00,5.00,2.00,5.00,5.00,4.00,3.50,3.00,5.00
V4_mixed_fanout,legal_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.50,4.50,5.00,1.00,4.50,5.00,5.00,1.00,1.00,5.00,2.00,1.00,2.50,5.00
V0_generic_single,legal_issue_explanation,5.00,1.00,1.00,1.00,1.67,3.33,1.67,1.67,4.67,1.33,1.67,1.33,1.00,1.33,1.67,2.00,2.00,5.00,5.00,3.67,2.67,2.67,5.00
V1_generic_fanout,legal_issue_explanation,5.00,1.00,2.67,4.00,3.67,5.00,2.33,2.33,4.67,2.00,2.33,2.67,2.00,2.00,2.33,3.00,3.00,5.00,5.00,5.00,3.67,3.33,5.00
V2_synthesis_only_personalization,legal_issue_explanation,5.00,1.00,2.67,4.00,3.33,5.00,3.33,3.00,4.67,3.00,3.00,3.33,1.33,3.00,3.00,3.33,3.00,5.00,5.00,4.00,3.33,3.33,5.00
V3_personalized_fanout,legal_issue_explanation,5.00,1.00,5.00,5.00,5.00,5.00,4.00,3.67,5.00,3.67,3.33,4.00,1.00,4.00,3.33,4.33,3.33,5.00,5.00,4.67,4.33,3.67,5.00
V4_mixed_fanout,legal_issue_explanation,5.00,1.00,4.00,5.00,4.67,4.67,3.67,3.00,4.67,3.33,3.67,3.67,1.00,3.67,3.00,3.67,2.67,1.33,5.00,4.00,3.00,3.33,5.00
V0_generic_single,product_or_program_comparison,5.00,1.00,1.00,1.00,1.33,3.33,2.33,2.00,3.00,1.33,2.00,1.67,2.33,1.00,2.00,1.67,2.00,5.00,5.00,4.00,2.00,4.00,5.00
V1_generic_fanout,product_or_program_comparison,5.00,1.00,1.67,3.00,2.67,5.00,3.00,3.00,4.33,2.33,2.00,2.67,1.00,1.67,3.33,3.00,2.67,5.00,5.00,4.33,2.67,4.00,5.00
V2_synthesis_only_personalization,product_or_program_comparison,5.00,1.00,1.67,3.33,2.67,5.00,3.67,3.00,5.00,3.00,2.67,3.33,1.00,3.00,3.33,3.67,2.67,5.00,5.00,4.33,3.00,3.67,5.00
V3_personalized_fanout,product_or_program_comparison,4.33,2.00,4.00,4.33,4.33,4.67,2.67,2.67,4.00,2.67,2.00,3.33,2.33,2.00,2.67,3.33,3.00,4.67,5.00,4.33,4.33,4.00,5.00
V4_mixed_fanout,product_or_program_comparison,4.33,1.33,3.33,4.33,4.00,4.67,3.00,3.33,2.67,2.67,2.67,3.33,2.33,2.33,3.33,3.33,2.33,1.00,5.00,4.00,2.33,3.33,5.00
V0_generic_single,current_rule_limit_lookup,5.00,1.00,1.00,1.00,1.50,3.50,3.00,2.00,5.00,2.00,1.00,2.00,1.00,2.00,2.00,3.00,4.00,5.00,5.00,5.00,2.00,4.50,5.00
V1_generic_fanout,current_rule_limit_lookup,3.50,1.00,1.50,3.00,2.00,4.50,3.00,3.00,4.00,2.50,3.50,2.50,1.00,2.50,3.00,4.50,4.00,5.00,5.00,4.50,2.50,5.00,5.00
V2_synthesis_only_personalization,current_rule_limit_lookup,3.50,1.00,1.50,3.00,2.50,5.00,4.00,4.00,4.50,3.50,4.00,4.50,1.00,4.00,4.00,5.00,3.50,5.00,5.00,5.00,2.50,4.50,5.00
V3_personalized_fanout,current_rule_limit_lookup,5.00,1.00,4.50,5.00,5.00,5.00,4.50,3.50,4.00,4.50,4.00,4.50,1.00,4.50,3.50,5.00,4.50,5.00,5.00,5.00,4.00,4.50,5.00
V4_mixed_fanout,current_rule_limit_lookup,5.00,1.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,3.50,4.00,4.50,1.00,5.00,4.00,5.00,3.50,1.00,5.00,4.50,2.50,5.00,5.00
V0_generic_single,financial_concept_explanation,5.00,1.00,1.00,1.00,1.67,3.67,3.33,3.67,4.00,2.33,2.33,2.00,1.00,2.67,3.67,3.00,3.33,5.00,5.00,5.00,2.67,4.67,5.00
V1_generic_fanout,financial_concept_explanation,5.00,1.00,2.33,3.33,3.33,5.00,3.33,3.67,5.00,2.33,2.00,2.00,1.00,3.00,4.00,3.67,3.00,4.67,5.00,5.00,3.00,4.33,5.00
V2_synthesis_only_personalization,financial_concept_explanation,5.00,1.00,2.33,3.67,3.67,5.00,4.50,3.50,4.00,3.50,3.50,4.50,1.00,5.00,3.50,4.50,2.67,3.33,5.00,5.00,2.67,4.33,5.00
V3_personalized_fanout,financial_concept_explanation,4.33,1.67,4.67,4.33,5.00,5.00,4.33,4.33,5.00,4.33,4.00,4.67,1.00,4.33,4.33,4.67,2.67,3.67,5.00,3.33,3.00,4.00,4.00
V4_mixed_fanout,financial_concept_explanation,5.00,1.00,5.00,5.00,5.00,5.00,4.33,3.67,4.33,3.67,3.67,3.67,1.00,4.67,4.00,4.33,3.00,2.00,5.00,4.67,3.00,4.67,5.00
V0_generic_single,financial_decision_strategy,5.00,1.00,1.00,1.00,1.50,4.50,2.50,2.50,4.00,2.00,1.50,1.50,1.00,2.00,2.50,2.50,2.50,5.00,5.00,4.50,2.50,3.50,5.00
V1_generic_fanout,financial_decision_strategy,5.00,1.00,1.50,2.50,2.50,5.00,3.00,2.50,4.50,1.50,1.00,1.50,1.00,1.50,2.50,2.50,2.50,5.00,5.00,4.50,2.50,4.50,5.00
V2_synthesis_only_personalization,financial_decision_strategy,5.00,1.00,1.50,2.50,2.00,5.00,4.00,2.50,4.50,3.50,3.00,3.50,1.00,3.50,2.50,4.00,2.50,5.00,5.00,5.00,2.50,4.50,5.00
V3_personalized_fanout,financial_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,4.00,3.00,3.50,3.50,3.00,3.50,1.00,3.50,3.00,4.00,3.00,3.50,5.00,5.00,3.50,4.00,5.00
V4_mixed_fanout,financial_decision_strategy,5.00,1.00,5.00,5.00,5.00,5.00,4.50,3.00,5.00,4.00,3.00,4.00,1.00,3.50,3.00,4.50,3.00,1.50,5.00,4.50,2.50,5.00,5.00
